education,joiningyear,city,paymenttier,age,gender,everbenched,experienceincurrentdomain,offtime,employeeid,department
Bachelors,2014,Ratu road ,1,30,Female,No,3,12,EMP0036,IT
Bachelors,2012,kanke,3,29,Male,No,3,5,EMP0037,IT
Bachelors,2018,kanke,2,34,Female,No,0,9,EMP0038,HR
Bachelors,2017,Lalpur,2,29,Female,No,2,4,EMP0039,IT
Bachelors,2014,Lalpur,3,30,Male,Yes,4,1,EMP0040,Sales
Bachelors,2015,Ratu road ,3,36,Male,No,1,2,EMP0041,Marketing
Masters,2017,kanke,2,23,Male,No,1,2,EMP0042,Sales
Bachelors,2013,Ratu road ,3,30,Male,No,3,7,EMP0043,HR
Bachelors,2014,Ratu road ,3,36,Male,No,0,11,EMP0044,IT
Bachelors,2015,Lalpur,3,39,Male,No,4,4,EMP0045,IT
Bachelors,2014,Ratu road ,3,23,Female,No,1,9,EMP0046,Marketing
PHD,2012,kanke,3,27,Male,No,5,4,EMP0047,Sales
Masters,2013,kanke,3,35,Male,No,2,5,EMP0048,HR
Masters,2017,kanke,2,34,Male,No,0,0,EMP0049,Finance
Bachelors,2013,Ratu road ,3,30,Female,No,1,12,EMP0050,Sales
PHD,2017,kanke,3,34,Male,No,2,8,EMP0051,IT
Bachelors,2015,Lalpur,2,26,Female,No,4,0,EMP0052,Finance
Bachelors,2016,Ratu road ,3,34,Female,No,0,3,EMP0053,IT
Bachelors,2014,Ratu road ,3,31,Female,Yes,5,3,EMP0054,Marketing
Bachelors,2017,kanke,3,31,Female,Yes,5,3,EMP0055,Marketing
PHD,2013,kanke,3,28,Male,No,2,0,EMP0056,IT
Bachelors,2016,Ratu road ,3,38,Male,No,2,11,EMP0057,HR
Masters,2014,Lalpur,3,39,Female,No,2,12,EMP0058,Finance
Bachelors,2013,Lalpur,3,32,Male,No,4,2,EMP0059,Marketing
Masters,2017,Lalpur,2,36,Male,No,2,11,EMP0060,Sales
Masters,2013,kanke,3,29,Male,No,3,2,EMP0061,Finance
Bachelors,2015,Ratu road ,3,30,Male,No,5,0,EMP0062,Finance
PHD,2013,Ratu road ,2,25,Male,No,3,6,EMP0063,IT
Bachelors,2014,Lalpur,1,22,Female,No,0,10,EMP0064,Marketing
Bachelors,2016,Ratu road ,3,34,Male,No,4,7,EMP0065,Finance
Bachelors,2018,Ratu road ,3,40,Male,No,1,4,EMP0066,IT
PHD,2013,Ratu road ,3,26,Male,No,4,6,EMP0067,Finance
Bachelors,2014,kanke,3,28,Male,No,0,7,EMP0068,Marketing
Bachelors,2015,Ratu road ,3,24,Female,No,2,4,EMP0069,Marketing
Masters,2017,Ratu road ,3,40,Female,No,2,8,EMP0070,Marketing
Bachelors,2018,Ratu road ,3,23,Female,No,1,2,EMP0071,HR
Masters,2017,Ratu road ,3,31,Male,No,4,4,EMP0072,Marketing
Bachelors,2014,Lalpur,3,25,Female,No,3,2,EMP0073,Sales
Bachelors,2014,Ratu road ,1,27,Male,No,5,3,EMP0074,Marketing
Masters,2017,kanke,2,25,Female,No,3,2,EMP0075,Finance
Bachelors,2015,Ratu road ,3,40,Male,No,0,1,EMP0076,Marketing
Bachelors,2014,Ratu road ,1,23,Female,No,1,5,EMP0077,Marketing
Bachelors,2017,Ratu road ,3,23,Female,No,1,3,EMP0078,IT
Bachelors,2012,Ratu road ,3,39,Male,No,1,11,EMP0079,Finance
PHD,2015,kanke,1,37,Male,No,1,9,EMP0080,HR
Bachelors,2017,Lalpur,3,38,Male,No,2,12,EMP0081,Sales
Bachelors,2013,Ratu road ,3,31,Female,No,0,4,EMP0082,Finance
Bachelors,2016,Ratu road ,3,38,Male,No,5,2,EMP0083,Finance
Bachelors,2017,Ratu road ,3,25,Female,No,3,6,EMP0084,IT
Bachelors,2015,Ratu road ,3,27,Female,Yes,5,1,EMP0085,HR
Bachelors,2016,Lalpur,2,36,Male,No,0,0,EMP0086,Finance
Bachelors,2017,Lalpur,2,27,Female,No,5,1,EMP0087,IT
Masters,2015,Lalpur,2,32,Female,No,4,1,EMP0088,IT
Bachelors,2014,Ratu road ,3,28,Male,No,4,12,EMP0089,Finance
Masters,2012,kanke,3,32,Male,No,2,8,EMP0090,Finance
Bachelors,2018,Ratu road ,3,30,Male,No,0,8,EMP0091,IT
Bachelors,2015,kanke,3,22,Male,No,0,9,EMP0092,Sales
Bachelors,2017,kanke,2,34,Female,No,5,8,EMP0093,Sales
Masters,2013,kanke,3,36,Male,No,2,6,EMP0094,IT
Bachelors,2014,Ratu road ,3,39,Male,No,3,5,EMP0095,Finance
PHD,2018,Ratu road ,3,26,Male,No,4,10,EMP0096,Sales
Bachelors,2016,Ratu road ,3,31,Female,No,0,4,EMP0097,Sales
Bachelors,2014,Ratu road ,3,27,Male,No,5,2,EMP0098,IT
Bachelors,2014,Ratu road ,3,29,Female,No,0,5,EMP0099,IT
Bachelors,2015,Ratu road ,3,24,Female,No,2,11,EMP0100,HR
Masters,2012,Lalpur,3,25,Male,No,3,7,EMP0101,Marketing
Bachelors,2013,Lalpur,3,25,Male,No,3,12,EMP0102,Marketing
Masters,2017,kanke,3,26,Female,No,4,4,EMP0103,HR
Bachelors,2015,Lalpur,2,28,Female,Yes,1,1,EMP0104,Finance
Bachelors,2017,kanke,3,28,Male,No,2,4,EMP0105,IT
Masters,2015,Lalpur,1,28,Female,No,3,12,EMP0106,HR
Masters,2015,kanke,3,25,Male,No,3,3,EMP0107,IT
Bachelors,2017,Ratu road ,3,28,Male,No,1,0,EMP0108,IT
Masters,2013,Lalpur,3,25,Male,No,3,1,EMP0109,Marketing
Bachelors,2015,Ratu road ,2,25,Female,No,3,5,EMP0110,IT
Bachelors,2015,Ratu road ,3,27,Female,No,5,6,EMP0111,HR
Bachelors,2017,Lalpur,2,27,Female,No,5,8,EMP0112,IT
Bachelors,2013,Ratu road ,3,27,Male,No,5,8,EMP0113,Sales
Bachelors,2012,Ratu road ,3,25,Male,No,3,9,EMP0114,HR
Masters,2017,kanke,2,28,Male,No,2,12,EMP0115,IT
Bachelors,2014,Lalpur,1,26,Female,No,4,5,EMP0116,HR
Bachelors,2015,Ratu road ,3,28,Male,No,2,9,EMP0117,Sales
Masters,2013,kanke,3,26,Male,No,4,3,EMP0118,IT
Bachelors,2017,Ratu road ,3,26,Female,No,4,8,EMP0119,Finance
Bachelors,2017,kanke,2,25,Male,No,3,4,EMP0120,Marketing
Bachelors,2012,Ratu road ,1,28,Female,No,3,9,EMP0121,IT
PHD,2015,kanke,3,26,Male,No,4,5,EMP0122,Finance
Bachelors,2015,kanke,3,25,Female,No,3,4,EMP0123,Marketing
Bachelors,2012,Ratu road ,3,26,Male,No,4,4,EMP0124,Finance
Bachelors,2014,Ratu road ,3,28,Female,No,3,7,EMP0125,Finance
Masters,2014,Lalpur,3,24,Male,No,2,1,EMP0126,Sales
Bachelors,2013,Ratu road ,3,28,Male,No,1,12,EMP0127,IT
Bachelors,2015,Lalpur,3,27,Male,No,5,1,EMP0128,HR
Bachelors,2018,Ratu road ,3,25,Male,No,3,8,EMP0129,IT
Masters,2013,Lalpur,1,24,Male,No,2,0,EMP0130,Finance
Bachelors,2017,Ratu road ,3,26,Female,No,4,9,EMP0131,IT
Bachelors,2013,Ratu road ,3,28,Male,No,1,6,EMP0132,Finance
Masters,2016,kanke,3,27,Male,No,5,5,EMP0133,IT
Masters,2017,Ratu road ,3,26,Male,No,4,0,EMP0134,Finance
Masters,2017,kanke,2,24,Male,No,2,2,EMP0135,Sales
Masters,2018,kanke,3,26,Male,No,4,9,EMP0136,Finance
Masters,2017,kanke,1,25,Female,No,3,8,EMP0137,HR
Bachelors,2012,Lalpur,3,28,Male,No,2,1,EMP0138,HR
Bachelors,2017,kanke,3,28,Male,No,2,11,EMP0139,Marketing
Bachelors,2013,Ratu road ,3,26,Male,No,4,5,EMP0140,Finance
Masters,2013,kanke,3,27,Male,No,5,3,EMP0141,Finance
Bachelors,2017,Lalpur,2,24,Female,No,2,10,EMP0142,IT
Bachelors,2017,kanke,3,28,Female,No,2,6,EMP0143,HR
Bachelors,2016,Ratu road ,3,26,Male,No,4,0,EMP0144,HR
Bachelors,2013,Ratu road ,3,27,Female,No,5,10,EMP0145,Finance
Masters,2015,Lalpur,2,28,Female,No,3,0,EMP0146,IT
Bachelors,2014,Ratu road ,3,25,Male,No,3,5,EMP0147,Marketing
Bachelors,2016,Lalpur,3,28,Male,No,1,12,EMP0148,Finance
Masters,2013,Ratu road ,1,25,Male,No,3,11,EMP0149,Finance
Bachelors,2015,Lalpur,3,26,Male,No,4,10,EMP0150,Finance
Bachelors,2018,kanke,3,27,Female,No,5,11,EMP0151,HR
Bachelors,2016,Ratu road ,3,24,Male,No,2,2,EMP0152,HR
Bachelors,2012,Lalpur,2,24,Female,No,2,0,EMP0153,Finance
Bachelors,2014,Ratu road ,3,26,Male,No,4,6,EMP0154,Sales
Bachelors,2016,Lalpur,2,24,Female,No,2,4,EMP0155,Finance
Masters,2012,kanke,3,26,Female,No,4,1,EMP0156,Finance
Bachelors,2013,Ratu road ,3,28,Female,No,3,12,EMP0157,IT
Bachelors,2012,Ratu road ,3,24,Male,No,2,11,EMP0158,HR
Bachelors,2015,Ratu road ,3,25,Male,No,3,6,EMP0159,Finance
Bachelors,2016,Ratu road ,3,28,Male,No,3,5,EMP0160,Marketing
Bachelors,2014,Ratu road ,3,28,Female,No,3,12,EMP0161,Sales
Bachelors,2013,Ratu road ,3,26,Female,No,4,7,EMP0162,Finance
Masters,2017,kanke,3,24,Female,No,2,4,EMP0163,Sales
Bachelors,2016,Ratu road ,3,25,Male,No,3,12,EMP0164,IT
Bachelors,2015,Ratu road ,3,25,Male,No,3,9,EMP0165,Finance
Bachelors,2014,Ratu road ,3,27,Male,No,5,8,EMP0166,Finance
Bachelors,2012,Ratu road ,3,24,Male,No,2,1,EMP0167,HR
Bachelors,2014,Ratu road ,3,25,Male,No,3,11,EMP0168,HR
Bachelors,2015,Ratu road ,3,28,Male,No,3,0,EMP0169,HR
Masters,2015,kanke,3,26,Male,No,4,2,EMP0170,IT
Bachelors,2014,kanke,3,28,Female,No,1,5,EMP0171,IT
Bachelors,2015,Lalpur,3,25,Male,No,3,8,EMP0172,Sales
Masters,2015,Lalpur,2,28,Female,No,2,5,EMP0173,Marketing
Bachelors,2014,Ratu road ,3,27,Female,No,5,6,EMP0174,Marketing
Bachelors,2013,Ratu road ,3,26,Male,No,4,0,EMP0175,Marketing
Bachelors,2016,Ratu road ,3,26,Male,No,4,11,EMP0176,IT
Bachelors,2012,Ratu road ,3,25,Male,No,3,3,EMP0177,HR
Bachelors,2015,Ratu road ,3,25,Male,No,3,8,EMP0178,Sales
Bachelors,2014,kanke,3,24,Female,No,2,9,EMP0179,Marketing
Bachelors,2012,Ratu road ,3,27,Male,No,5,2,EMP0180,Finance
Masters,2017,kanke,3,27,Male,No,5,1,EMP0181,Finance
Bachelors,2015,Lalpur,3,27,Male,No,5,4,EMP0182,IT
Bachelors,2018,Ratu road ,3,24,Male,No,2,0,EMP0183,HR
Masters,2017,kanke,3,27,Male,No,5,4,EMP0184,Sales
Masters,2017,kanke,2,28,Female,No,1,8,EMP0185,Marketing
Masters,2017,Lalpur,2,24,Male,No,2,6,EMP0186,HR
Masters,2016,kanke,3,25,Female,No,3,12,EMP0187,Marketing
PHD,2015,kanke,3,28,Female,No,1,6,EMP0188,HR
Bachelors,2017,kanke,2,26,Male,No,4,1,EMP0189,Sales
Bachelors,2013,Ratu road ,2,27,Male,No,5,3,EMP0190,HR
Bachelors,2015,Ratu road ,3,26,Male,No,4,9,EMP0191,IT
Bachelors,2015,Ratu road ,3,26,Male,No,4,7,EMP0192,Marketing
Bachelors,2013,Ratu road ,3,28,Male,No,1,2,EMP0193,Finance
Bachelors,2015,Ratu road ,3,27,Female,No,5,12,EMP0194,Finance
Bachelors,2013,kanke,3,25,Female,No,3,1,EMP0195,Finance
Bachelors,2013,Lalpur,3,28,Male,No,1,7,EMP0196,Finance
Bachelors,2017,Lalpur,3,24,Male,No,2,11,EMP0197,Finance
Bachelors,2013,kanke,3,27,Female,No,5,4,EMP0198,Finance
Bachelors,2015,Ratu road ,3,28,Male,Yes,2,5,EMP0199,HR
Bachelors,2015,Lalpur,3,28,Male,No,3,12,EMP0200,Marketing
Bachelors,2014,Lalpur,2,25,Female,No,3,0,EMP0201,IT
Bachelors,2014,Ratu road ,3,25,Male,No,3,10,EMP0202,HR
Bachelors,2017,Ratu road ,3,27,Male,No,5,4,EMP0203,IT
Bachelors,2014,Lalpur,2,26,Female,No,4,8,EMP0204,Finance
PHD,2013,kanke,3,24,Male,No,2,12,EMP0205,Finance
Bachelors,2015,Lalpur,2,26,Female,No,4,2,EMP0206,Sales
Bachelors,2017,Ratu road ,3,25,Male,No,3,6,EMP0207,Sales
Masters,2013,Lalpur,2,27,Male,No,5,9,EMP0208,HR
Masters,2017,Ratu road ,3,28,Male,No,2,6,EMP0209,HR
Bachelors,2012,Ratu road ,3,25,Male,No,3,5,EMP0210,Sales
Bachelors,2017,Ratu road ,3,27,Male,No,5,5,EMP0211,IT
Masters,2017,Lalpur,2,27,Female,No,5,8,EMP0212,Finance
Masters,2013,Ratu road ,2,28,Female,No,2,2,EMP0213,Marketing
Masters,2017,Lalpur,3,28,Male,No,1,3,EMP0214,IT
Bachelors,2018,Ratu road ,3,27,Female,No,5,10,EMP0215,Finance
Bachelors,2014,kanke,3,25,Female,No,3,11,EMP0216,IT
Masters,2017,kanke,3,27,Male,No,5,0,EMP0217,IT
Masters,2013,kanke,3,26,Male,No,4,4,EMP0218,Finance
Bachelors,2013,Lalpur,2,25,Female,No,3,1,EMP0219,Marketing
Masters,2012,kanke,3,26,Male,No,4,10,EMP0220,HR
Bachelors,2016,Ratu road ,3,25,Male,No,3,8,EMP0221,Marketing
Bachelors,2013,Lalpur,2,26,Male,No,4,10,EMP0222,Finance
Bachelors,2018,Ratu road ,3,28,Female,No,2,1,EMP0223,IT
Bachelors,2013,Ratu road ,3,27,Male,No,5,5,EMP0224,Sales
Bachelors,2015,Lalpur,1,24,Female,Yes,2,11,EMP0225,HR
Bachelors,2013,Lalpur,3,28,Male,No,2,5,EMP0226,Sales
Bachelors,2015,Lalpur,2,27,Female,Yes,5,7,EMP0227,Finance
Bachelors,2018,Ratu road ,3,25,Male,No,3,7,EMP0228,Sales
Bachelors,2014,Lalpur,2,27,Female,No,5,1,EMP0229,HR
Bachelors,2013,Lalpur,3,24,Male,No,2,10,EMP0230,HR
Bachelors,2014,Lalpur,3,24,Male,No,2,2,EMP0231,IT
PHD,2015,kanke,2,25,Female,No,3,9,EMP0232,Finance
Bachelors,2014,Ratu road ,3,26,Male,Yes,4,10,EMP0233,IT
Bachelors,2018,Ratu road ,3,24,Male,No,2,0,EMP0234,HR
Masters,2015,Lalpur,2,25,Female,No,3,11,EMP0235,Sales
Bachelors,2015,Ratu road ,3,24,Male,No,2,1,EMP0236,HR
Bachelors,2014,kanke,3,24,Female,No,2,3,EMP0237,Sales
Masters,2017,Ratu road ,2,26,Female,No,4,2,EMP0238,HR
Bachelors,2012,kanke,3,28,Male,No,1,10,EMP0239,Finance
Masters,2017,Lalpur,2,26,Female,No,4,10,EMP0240,Marketing
Bachelors,2016,Lalpur,3,25,Male,No,3,12,EMP0241,Sales
Bachelors,2017,kanke,3,24,Male,No,2,11,EMP0242,IT
Bachelors,2013,Lalpur,2,28,Female,No,3,6,EMP0243,Marketing
Bachelors,2014,Ratu road ,3,25,Female,No,3,3,EMP0244,IT
Bachelors,2014,Ratu road ,3,25,Male,No,3,1,EMP0245,HR
Bachelors,2014,Lalpur,2,24,Female,No,2,4,EMP0246,Sales
Bachelors,2015,Ratu road ,3,28,Male,No,2,2,EMP0247,IT
Bachelors,2015,Ratu road ,3,27,Male,No,5,6,EMP0248,HR
Bachelors,2016,Lalpur,3,26,Male,No,4,0,EMP0249,HR
Masters,2015,kanke,3,26,Female,No,4,4,EMP0250,Sales
Bachelors,2016,Ratu road ,1,28,Female,No,2,6,EMP0251,Finance
Bachelors,2014,Ratu road ,3,25,Male,Yes,3,5,EMP0252,Marketing
Bachelors,2014,Ratu road ,3,27,Male,No,5,3,EMP0253,Marketing
Bachelors,2017,Ratu road ,3,28,Male,No,2,0,EMP0254,Finance
Masters,2018,kanke,3,24,Female,Yes,2,5,EMP0255,Finance
Bachelors,2017,Lalpur,2,25,Male,No,3,9,EMP0256,HR
Bachelors,2018,Lalpur,2,24,Female,No,2,2,EMP0257,Sales
Masters,2017,kanke,2,28,Female,No,1,4,EMP0258,Marketing
Bachelors,2013,kanke,1,27,Female,No,5,7,EMP0259,HR
Bachelors,2017,kanke,2,27,Female,No,5,9,EMP0260,HR
Bachelors,2017,Ratu road ,3,28,Male,No,1,1,EMP0261,IT
Bachelors,2016,Lalpur,2,27,Female,No,5,10,EMP0262,IT
Masters,2018,Ratu road ,3,24,Male,No,2,1,EMP0263,Sales
Bachelors,2012,Lalpur,1,26,Male,No,4,0,EMP0264,Sales
Bachelors,2016,Ratu road ,3,26,Male,No,4,12,EMP0265,HR
Masters,2016,kanke,1,27,Male,No,5,0,EMP0266,HR
Bachelors,2015,kanke,3,26,Female,No,4,1,EMP0267,Marketing
Bachelors,2012,Ratu road ,3,27,Male,Yes,5,3,EMP0268,HR
Bachelors,2013,Ratu road ,3,24,Male,Yes,2,3,EMP0269,Sales
Bachelors,2018,Ratu road ,3,26,Female,No,4,8,EMP0270,IT
Masters,2017,Lalpur,2,26,Female,No,4,1,EMP0271,Marketing
Masters,2017,kanke,2,28,Female,No,2,0,EMP0272,Sales
Bachelors,2013,Lalpur,3,28,Male,No,1,10,EMP0273,HR
Masters,2013,kanke,3,25,Male,No,3,7,EMP0274,HR
Bachelors,2018,Ratu road ,3,28,Female,Yes,1,0,EMP0275,Sales
Bachelors,2013,Lalpur,3,27,Female,No,5,3,EMP0276,HR
Bachelors,2012,Ratu road ,3,25,Male,No,3,0,EMP0277,Marketing
Bachelors,2014,Ratu road ,3,28,Male,No,1,3,EMP0278,IT
Bachelors,2017,kanke,3,28,Female,No,3,4,EMP0279,Finance
Masters,2017,kanke,2,28,Male,Yes,2,0,EMP0280,Sales
Bachelors,2014,Ratu road ,3,25,Male,No,3,8,EMP0281,Marketing
Masters,2017,kanke,3,26,Male,No,4,6,EMP0282,HR
Bachelors,2015,Lalpur,1,25,Female,No,3,6,EMP0283,Finance
Masters,2013,kanke,3,27,Male,No,5,12,EMP0284,HR
PHD,2014,Ratu road ,3,24,Female,No,2,6,EMP0285,IT
Masters,2017,kanke,2,27,Female,No,5,7,EMP0286,IT
Bachelors,2018,Ratu road ,3,26,Male,No,4,5,EMP0287,Finance
Bachelors,2012,Ratu road ,3,26,Male,No,4,10,EMP0288,HR
Masters,2015,Lalpur,3,27,Female,No,5,10,EMP0289,IT
Bachelors,2018,Ratu road ,3,26,Male,No,4,2,EMP0290,IT
Bachelors,2016,Ratu road ,3,24,Male,No,2,5,EMP0291,Finance
Masters,2017,kanke,2,25,Female,No,3,11,EMP0292,Marketing
Bachelors,2017,kanke,2,28,Male,No,1,3,EMP0293,Marketing
Bachelors,2012,kanke,3,27,Female,No,5,2,EMP0294,Marketing
Masters,2013,kanke,3,26,Male,No,4,9,EMP0295,Marketing
Bachelors,2015,Ratu road ,3,26,Female,Yes,4,0,EMP0296,Marketing
Bachelors,2014,Lalpur,3,28,Male,No,2,0,EMP0297,Finance
Bachelors,2016,Ratu road ,3,24,Female,No,2,0,EMP0298,Marketing
Bachelors,2012,Ratu road ,3,28,Male,No,3,4,EMP0299,Marketing
Bachelors,2012,Ratu road ,3,27,Male,No,5,11,EMP0300,IT
Bachelors,2013,Ratu road ,3,26,Male,No,4,6,EMP0301,Sales
Bachelors,2014,kanke,3,28,Female,No,1,9,EMP0302,Sales
Bachelors,2014,kanke,3,27,Female,Yes,5,0,EMP0303,HR
Bachelors,2015,Lalpur,3,26,Female,Yes,4,7,EMP0304,HR
Masters,2014,kanke,3,26,Male,No,4,12,EMP0305,IT
PHD,2015,kanke,3,25,Female,No,3,1,EMP0306,Sales
Masters,2015,kanke,3,25,Male,No,3,8,EMP0307,HR
Bachelors,2012,Lalpur,3,27,Male,No,5,8,EMP0308,Finance
Masters,2017,kanke,2,24,Female,No,2,8,EMP0309,Marketing
Bachelors,2016,Ratu road ,3,24,Male,No,2,0,EMP0310,HR
Masters,2015,Lalpur,3,28,Female,No,2,4,EMP0311,Sales
Bachelors,2017,Ratu road ,3,24,Female,No,2,11,EMP0312,Sales
Bachelors,2017,Lalpur,3,25,Male,No,3,11,EMP0313,HR
Bachelors,2017,Ratu road ,1,25,Male,No,3,12,EMP0314,IT
Masters,2015,Lalpur,3,28,Female,No,2,0,EMP0315,HR
Bachelors,2017,Lalpur,3,26,Male,No,4,4,EMP0316,HR
Bachelors,2014,Lalpur,3,24,Male,No,2,12,EMP0317,Finance
Bachelors,2014,Lalpur,3,25,Female,No,3,0,EMP0318,HR
Bachelors,2018,Lalpur,3,26,Female,No,4,4,EMP0319,Marketing
Bachelors,2016,Ratu road ,3,27,Male,No,5,6,EMP0320,HR
Bachelors,2017,Ratu road ,3,28,Female,No,2,3,EMP0321,IT
Bachelors,2012,Lalpur,3,28,Male,No,2,11,EMP0322,IT
Masters,2012,kanke,3,24,Female,No,2,11,EMP0323,HR
Bachelors,2013,Ratu road ,3,26,Male,No,4,1,EMP0324,HR
Bachelors,2015,kanke,3,26,Female,Yes,4,0,EMP0325,Sales
Bachelors,2017,Ratu road ,3,28,Male,No,1,12,EMP0326,HR
Bachelors,2018,Lalpur,3,25,Male,Yes,3,12,EMP0327,IT
Masters,2017,kanke,3,24,Male,No,2,6,EMP0328,Finance
Bachelors,2013,Ratu road ,3,28,Male,No,2,1,EMP0329,Finance
Bachelors,2017,Ratu road ,3,24,Male,No,2,4,EMP0330,Marketing
Masters,2017,kanke,2,25,Female,No,3,6,EMP0331,Finance
Bachelors,2013,Lalpur,2,28,Female,No,1,8,EMP0332,Finance
Bachelors,2015,Ratu road ,3,24,Female,No,2,4,EMP0333,HR
Bachelors,2016,Lalpur,3,26,Male,No,4,1,EMP0334,Sales
Bachelors,2015,kanke,2,27,Female,No,5,9,EMP0335,IT
Bachelors,2018,Ratu road ,3,24,Female,No,2,4,EMP0336,HR
Bachelors,2013,Ratu road ,3,27,Female,No,5,7,EMP0337,Sales
Bachelors,2013,Ratu road ,3,24,Male,Yes,2,1,EMP0338,Finance
Bachelors,2013,Ratu road ,3,24,Female,No,2,5,EMP0339,Finance
Bachelors,2013,Ratu road ,3,27,Male,No,5,8,EMP0340,IT
Bachelors,2017,Ratu road ,3,26,Female,No,4,10,EMP0341,HR
Bachelors,2015,Ratu road ,3,24,Female,No,2,3,EMP0342,HR
Bachelors,2012,Lalpur,3,24,Female,No,2,1,EMP0343,IT
Bachelors,2016,Ratu road ,3,24,Male,Yes,2,4,EMP0344,Marketing
Bachelors,2012,Ratu road ,3,28,Male,No,3,2,EMP0345,IT
Bachelors,2017,kanke,2,27,Male,No,5,0,EMP0346,HR
Bachelors,2012,Lalpur,2,27,Female,No,5,9,EMP0347,HR
Masters,2017,Lalpur,2,27,Male,No,5,2,EMP0348,IT
Bachelors,2017,Lalpur,2,24,Male,No,2,11,EMP0349,HR
Bachelors,2016,Lalpur,1,26,Female,No,4,12,EMP0350,IT
Bachelors,2015,Lalpur,3,26,Female,No,4,10,EMP0351,HR
Bachelors,2016,Ratu road ,3,25,Male,No,3,7,EMP0352,HR
Bachelors,2012,Lalpur,3,26,Male,No,4,10,EMP0353,Marketing
Bachelors,2017,Ratu road ,3,28,Male,No,2,6,EMP0354,HR
Bachelors,2012,Ratu road ,3,25,Male,No,3,11,EMP0355,IT
Bachelors,2017,Ratu road ,3,25,Female,Yes,3,6,EMP0356,Finance
Masters,2017,Lalpur,2,26,Male,No,4,12,EMP0357,HR
Masters,2017,Lalpur,3,28,Male,No,1,0,EMP0358,HR
Masters,2015,Lalpur,2,25,Female,No,3,3,EMP0359,HR
Bachelors,2017,kanke,2,26,Female,No,4,5,EMP0360,Finance
Bachelors,2017,kanke,2,26,Male,No,4,9,EMP0361,IT
Bachelors,2016,Ratu road ,3,27,Male,No,5,1,EMP0362,Sales
Bachelors,2017,kanke,3,27,Female,No,5,1,EMP0363,Finance
Bachelors,2015,kanke,3,24,Female,No,2,5,EMP0364,Finance
Masters,2017,Ratu road ,1,26,Female,No,4,8,EMP0365,HR
Bachelors,2017,kanke,1,28,Female,No,2,12,EMP0366,Sales
Bachelors,2015,Ratu road ,3,24,Male,No,2,0,EMP0367,HR
Masters,2015,Lalpur,2,25,Female,No,3,0,EMP0368,IT
Bachelors,2014,Ratu road ,3,25,Female,No,3,9,EMP0369,Marketing
Bachelors,2014,Ratu road ,3,28,Male,No,2,12,EMP0370,IT
Bachelors,2017,Ratu road ,3,28,Male,No,3,11,EMP0371,IT
Masters,2015,kanke,1,27,Male,No,5,8,EMP0372,Finance
Bachelors,2014,Lalpur,1,26,Female,No,4,4,EMP0373,Marketing
